page,tag,text,location,matches
/,title,"Pousada em Paraty com Café da Manhã | Aquino Mar — Caborê, RJ",head,"pousada, Paraty"
/,meta description,"Pousada familiar em Caborê, a poucos minutos do Centro Histórico de Paraty. Café da manhã incluso, piscina, Wi-Fi, ar-condicionado e estacionamento gratuito. Reserve pelo WhatsApp!",head,"pousada, Paraty"
/,aria-label,Início - Pousada Aquino Mar,header 1,pousada
/,alt,Pousada Aquino Mar,header 1,pousada
/,aria-label,Navegação principal,header 1,sem correspondência com termo-alvo
/,CTA (a),A Pousada,header 1,pousada
/,CTA (a),Acomodações,header 1,sem correspondência com termo-alvo
/,CTA (a),Grupos & Caravanas,header 1,sem correspondência com termo-alvo
/,CTA (a),Localização,header 1,sem correspondência com termo-alvo
/,CTA (a),Depoimentos,header 1,sem correspondência com termo-alvo
/,CTA (a),Reservar Estadia,header 1,sem correspondência com termo-alvo
/,aria-label,Abrir menu,header 1,sem correspondência com termo-alvo
/,aria-label,Navegação mobile,header 1,sem correspondência com termo-alvo
/,CTA (a),A Pousada,header 1,pousada
/,CTA (a),Acomodações,header 1,sem correspondência com termo-alvo
/,CTA (a),Grupos & Caravanas,header 1,sem correspondência com termo-alvo
/,CTA (a),Localização,header 1,sem correspondência com termo-alvo
/,CTA (a),Depoimentos,header 1,sem correspondência com termo-alvo
/,CTA (a),Reservar Estadia,header 1,sem correspondência com termo-alvo
/,alt,Pousada Aquino Mar em Paraty,inicio,"pousada, Paraty"
/,body (p),0.0no Tripadvisor,inicio,sem correspondência com termo-alvo
/,body (div),A poucos minutos do Centro Histórico,inicio,sem correspondência com termo-alvo
/,H1,"Sinta-se em casa, perto do mar.",inicio,sem correspondência com termo-alvo
/,body (p),"Pousada Aquino Mar - hospitalidade genuína em Caborê, a poucos minutos do charme das ruas de pedra de Paraty.",inicio,"pousada, Paraty"
/,CTA (a),Ver Nossas Suítes,inicio,sem correspondência com termo-alvo
/,CTA (a),Falar com a Recepção,inicio,sem correspondência com termo-alvo
